item_id,item_name,category,rating,review_text,quality_score,source,date
S-Tr-0,Beach Resort,travel,5,Fantastic destination. Will buy again.,0.86,Synthetic,2024-02-05
S-Tr-1,Sky Airlines,travel,4,Great flight experience. Good value.,0.78,Synthetic,2024-05-05
S-Tr-2,Kyoto Tour,travel,5,Magical stay at the resort. Will buy again.,0.78,Synthetic,2024-01-01
S-Tr-3,Kyoto Tour,travel,5,Fantastic destination. Five stars!,0.75,Synthetic,2024-04-01
S-Tr-4,Kyoto Tour,travel,4,The hotel was amazing! Will buy again.,0.7,Synthetic,2024-05-02
S-Tr-5,Beach Resort,travel,4,The tour guide was great. Five stars!,0.71,Synthetic,2024-04-03
S-Tr-6,Kyoto Tour,travel,5,Loved this trip! Will buy again.,0.86,Synthetic,2024-04-05
S-Tr-7,Kyoto Tour,travel,5,Loved this trip! Good value.,0.82,Synthetic,2024-05-03
S-Tr-8,Beach Resort,travel,5,The hotel was amazing! Highly recommend.,0.74,Synthetic,2024-02-03
S-Tr-9,Beach Resort,travel,4,The hotel was amazing! Highly recommend.,0.73,Synthetic,2024-01-03
S-Tr-10,Grand Hotel,travel,5,Highly recommend this airline. Will buy again.,0.73,Synthetic,2024-02-03
S-Tr-11,Mountain Hut,travel,4,Highly recommend this airline. Good value.,0.83,Synthetic,2024-02-01
S-Tr-12,Kyoto Tour,travel,5,The hotel was amazing! Five stars!,0.78,Synthetic,2024-01-09
S-Tr-13,Kyoto Tour,travel,4,Great flight experience. Five stars!,0.73,Synthetic,2024-02-08
S-Tr-14,Grand Hotel,travel,5,Great flight experience. Good value.,0.83,Synthetic,2024-03-09
S-Tr-15,Kyoto Tour,travel,5,Highly recommend this airline. Five stars!,0.81,Synthetic,2024-02-07
S-Tr-16,Grand Hotel,travel,4,Great flight experience. Good value.,0.78,Synthetic,2024-01-07
S-Tr-17,Beach Resort,travel,4,The hotel was amazing! Will buy again.,0.81,Synthetic,2024-02-09
S-Tr-18,Mountain Hut,travel,5,The hotel was amazing! Will buy again.,0.79,Synthetic,2024-04-05
S-Tr-19,Kyoto Tour,travel,4,Loved this trip! Highly recommend.,0.79,Synthetic,2024-05-06
S-El-0,Bose Headphones,electronics,5,Excellent monitor for work. Good value.,0.81,Synthetic,2024-02-03
S-El-1,Logitech Mouse,electronics,5,Stylish smartwatch. Five stars!,0.75,Synthetic,2024-02-04
S-El-2,Sony Camera,electronics,4,Stylish smartwatch. Five stars!,0.87,Synthetic,2024-05-08
S-El-3,MacBook Pro,electronics,5,The camera quality is superb. Will buy again.,0.87,Synthetic,2024-04-03
S-El-4,MacBook Pro,electronics,5,Best laptop I've owned. Good value.,0.74,Synthetic,2024-01-02
S-El-5,Logitech Mouse,electronics,4,Very responsive mouse. Highly recommend.,0.76,Synthetic,2024-02-05
